activity_id,datetime_local,date,name,sport,distance_km,duration_s,pace_str,pace_s_per_km,avg_hr,max_hr,avg_cadence_spm,avg_power,avg_gct_ms,avg_vert_osc_mm,avg_vert_ratio,avg_stride_m,vo2max,aerobic_te,anaerobic_te,training_load,rpe,body_battery_delta,calories,elev_gain_m,location,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s
19715468450,2025-07-13T05:30:02,2025-07-13,8.2: 24K Quality,RUNNING,24.005,9353.0,06:30,389.6,183.0,197.0,164.0,227.0,274.8,8.9,9.53,0.932,40.0,5.0,2.299999952316284,597.2,100.0,-45.0,5828.317819999999,7600.0,Mumbai,17000.0,35230.0,444830.0,6423698.0,2417155.0
19757431794,2025-07-17T06:39:16,2025-07-17,Mumbai - Run Workout,RUNNING,9.293,4809.0,08:38,517.5,171.0,195.0,124.0,160.0,276.0,8.2,9.46,0.913,40.0,4.199999809265137,3.0,267.5,80.0,-22.0,2606.19244,2400.0,Mumbai,29000.0,146403.0,1440114.0,2579231.0,606880.0
19787772725,2025-07-20T05:33:15,2025-07-20,Mumbai Running,RUNNING,27.001,10635.0,06:34,393.9,182.0,193.0,162.0,224.0,274.2,8.8,9.42,0.936,40.0,5.0,1.5,565.7,100.0,-36.0,6724.982099999999,7500.0,Mumbai,15000.0,72097.0,408918.0,7656618.0,2467078.0
19829946310,2025-07-24T06:53:17,2025-07-24,Mumbai Running,RUNNING,5.041,2352.0,07:47,466.6,166.0,182.0,160.0,194.0,292.6,8.4,10.47,0.799,40.0,3.0,0.0,82.1,80.0,-11.0,1257.0059999999999,1700.0,Mumbai,22999.0,58536.0,932978.0,1337268.0,0.0
19859737236,2025-07-27T04:54:33,2025-07-27,Mumbai Running,RUNNING,30.008,11961.0,06:39,398.6,178.0,193.0,164.0,223.0,276.0,8.8,9.6,0.914,41.0,5.0,0.6000000238418579,535.4,100.0,-34.0,7458.235599999999,18800.0,Mumbai,52425.0,70081.0,490280.0,10977345.0,353905.0
19885320023,2025-07-29T18:50:42,2025-07-29,Mumbai Running,RUNNING,14.011,5541.0,06:36,395.5,178.0,187.0,162.0,228.0,277.8,8.9,9.64,0.928,41.0,5.0,0.5,324.9,70.0,-14.0,3561.517,3500.0,Mumbai,15000.0,19000.0,181264.0,5308772.0,2000.0
19921445841,2025-08-02T06:14:47,2025-08-02,Chandigarh - Run Workout,RUNNING,7.803,3382.0,07:13,433.4,168.0,193.0,148.0,186.0,266.3,7.9,8.67,0.911,41.0,3.799999952316284,2.5,222.1,70.0,-10.0,1998.63954,,Chandigarh,37463.0,257809.0,955152.0,1579076.0,521667.0
19931997878,2025-08-03T05:12:46,2025-08-03,Mumbai Running,RUNNING,33.004,13770.0,06:57,417.2,173.0,188.0,162.0,211.0,278.6,8.6,9.73,0.887,41.0,5.0,0.0,491.4,100.0,-31.0,8225.009259999999,7900.0,Mumbai,16998.0,95023.0,1232626.0,12219522.0,184064.0
19965329451,2025-08-06T06:38:05,2025-08-06,Mumbai Running,RUNNING,10.005,4580.0,07:38,457.8,167.0,177.0,160.0,191.0,287.3,8.3,10.18,0.814,41.0,3.4000000953674316,0.0,130.5,50.0,-14.0,2522.3920399999997,2000.0,Mumbai,28580.0,193540.0,624996.0,3733115.0,0.0
19997551087,2025-08-09T05:35:28,2025-08-09,Mumbai Running,RUNNING,18.009,7528.0,06:58,418.0,173.0,188.0,164.0,210.0,280.7,8.6,9.88,0.871,41.0,5.0,0.0,296.6,80.0,-23.0,4571.31182,4700.0,Mumbai,30954.0,29665.0,648254.0,6566428.0,246001.0
