date,sleep_total_min,sleep_deep_min,sleep_light_min,sleep_rem_min,sleep_awake_min,sleep_score,sleep_quality_score,sleep_recovery_score,resp_avg,sleep_stress_avg,restless_moments,hrv_overnight_ms,hrv_status,hrv_weekly_avg,overnight_hr,rhr,spo2_status,vo2max_running,vo2max_fitnessage,bio_age,bmi,acute_load,chronic_load,acwr,acwr_status,training_status,fitness_trend,readiness_score,readiness_level,recovery_time_hr,pred_5k_s,pred_10k_s,pred_half_s,pred_marathon_s
2025-11-12,545.0,53.0,382.0,110.0,0.0,85.0,82.0,76.0,15.0,16.9,42.0,44.0,IN_RANGE,33.0,66.0,,IN_RANGE,,,,,0.0,241.0,0.0,LOW,RECOVERY,NO_CHANGE,79.0,HIGH,1.0,1597.0,3382.0,7350.0,17366.0
2025-11-13,440.0,77.0,260.0,103.0,5.0,83.0,86.0,71.0,16.25,19.3,44.0,35.0,IN_RANGE,33.0,68.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,220.0,0.0,LOW,RECOVERY,NO_CHANGE,89.0,HIGH,1.0,1595.0,3382.0,7354.0,17373.0
2025-11-14,376.0,70.0,240.0,66.0,1.0,73.0,81.0,66.0,16.27,21.9,39.0,30.0,IN_RANGE,32.0,70.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,199.0,0.0,LOW,RECOVERY,NO_CHANGE,74.0,MODERATE,182.0,1593.0,3382.0,7357.0,17379.0
2025-11-15,410.0,54.0,305.0,51.0,12.0,78.0,83.0,87.0,14.75,13.3,37.0,41.0,IN_RANGE,33.0,66.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,178.0,0.0,LOW,RECOVERY,NO_CHANGE,80.0,HIGH,1.0,1594.0,3383.0,7361.0,17421.0
2025-11-16,402.0,67.0,273.0,62.0,0.0,80.0,87.0,89.0,14.54,12.7,37.0,44.0,IN_RANGE,34.0,66.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,157.0,0.0,LOW,RECOVERY,NO_CHANGE,86.0,HIGH,1.0,1596.0,3383.0,7366.0,17477.0
2025-11-17,429.0,68.0,294.0,67.0,20.0,77.0,77.0,74.0,15.79,18.2,44.0,34.0,IN_RANGE,36.0,69.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,146.0,0.0,LOW,RECOVERY,NO_RESULT,83.0,HIGH,1.0,1595.0,3384.0,7371.0,17496.0
2025-11-18,323.0,54.0,209.0,60.0,17.0,71.0,77.0,73.0,16.71,18.7,32.0,34.0,IN_RANGE,37.0,69.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,135.0,0.0,LOW,RECOVERY,NO_RESULT,79.0,HIGH,1.0,1594.0,3384.0,7375.0,17515.0
2025-11-19,510.0,66.0,310.0,134.0,4.0,95.0,95.0,98.0,14.92,10.6,33.0,43.0,IN_RANGE,37.0,65.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,125.0,0.0,LOW,DETRAINING,NO_RESULT,100.0,PRIME,0.0,1598.0,3385.0,7381.0,17581.0
2025-11-20,359.0,61.0,239.0,59.0,6.0,72.0,81.0,73.0,16.12,18.7,40.0,36.0,IN_RANGE,37.0,67.0,64.0,IN_RANGE,,49.0,21.4,20.7,0.0,114.0,0.0,LOW,DETRAINING,NO_RESULT,87.0,HIGH,1.0,1598.0,3385.0,7385.0,17603.0
2025-11-21,,,,,,,,,,,,,,38.0,,64.0,,,49.0,21.4,20.7,0.0,103.0,0.0,LOW,DETRAINING,NO_RESULT,80.0,HIGH,1.0,1599.0,3386.0,7390.0,17623.0
